id,gender,masterCategory,subCategory,articleType,slot,baseColour,season,year,usage,productDisplayName,look
658030002,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Everyday / Streetwear,Push Up Jegging L.W,Everyday / Streetwear
826850001,Unisex,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Mole,Fall,2019,Sportswear / Gym,Strong seamless HW tights,Sportswear / Gym
540768007,Men,Garment Lower body,Trousers,Trousers,bottom,Grey,Spring,2019,Everyday / Streetwear,Tech Stretch Skinny,Everyday / Streetwear
568597028,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Summer,2019,Office / Formal,Hayes slim,Office / Formal
652731033,Women,Garment Lower body,Skirt,Skirt,bottom,White,Spring,2019,Office / Formal,Florida (1),Office / Formal
523404024,Unisex,Garment Lower body,Shorts,Shorts,bottom,Green,Fall,2019,Sportswear / Gym,Howie Shorts,Sportswear / Gym
660401004,Men,Garment Lower body,Trousers,Trousers,bottom,Khaki green,Winter,2019,Everyday / Streetwear,Karzar trousers,Everyday / Streetwear
784507001,Women,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Black,Summer,2019,Loungewear / Home,Sport Line Leggings,Loungewear / Home
587320001,Women,Garment Lower body,Trousers,Trousers,bottom,White,Fall,2019,Everyday / Streetwear,Grasshopper jumpsuit,Everyday / Streetwear
636207011,Men,Garment Lower body,Trousers,Trousers,bottom,Blue,Spring,2019,Everyday / Streetwear,Slim 5pkt Lowprice,Everyday / Streetwear
772003001,Women,Garment Lower body,Shorts,Shorts,bottom,White,Spring,2019,Everyday / Streetwear,Dimanche shorts,Everyday / Streetwear
886474001,Women,Garment Lower body,Skirt,Skirt,bottom,Grey,Summer,2019,Everyday / Streetwear,PQ BELGRADE SILK SKIRT,Everyday / Streetwear
633232005,Men,Garment Lower body,Trousers,Trousers,bottom,Grey,Fall,2019,Office / Formal,Zion slim,Office / Formal
757900001,Women,Garment Lower body,Trousers,Trousers,bottom,Turquoise,Spring,2019,Everyday / Streetwear,Alison Pleat Trousers,Everyday / Streetwear
817472002,Women,Garment Lower body,Shorts,Shorts,bottom,Beige,Summer,2019,Everyday / Streetwear,Kelso,Everyday / Streetwear
843458003,Men,Garment Lower body,Trousers,Trousers,bottom,Grey,Summer,2019,Everyday / Streetwear,FRANK TECH PANT,Everyday / Streetwear
673707003,Men,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Hunter,Everyday / Streetwear
780361003,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Everyday / Streetwear,DIV Jade HW Trash,Everyday / Streetwear
547163002,Women,Garment Lower body,Skirt,Skirt,bottom,Blue,Winter,2019,Everyday / Streetwear,W Kristin,Everyday / Streetwear
679502001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Space Petite,Everyday / Streetwear
759715001,Men,Garment Lower body,Trousers,Trousers,bottom,Blue,Spring,2019,Office / Formal,Hampstead drawstring trs,Office / Formal
695544011,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Winter,2019,Everyday / Streetwear,Pluto slacks RW,Everyday / Streetwear
582011010,Men,Garment Lower body,Shorts,Shorts,bottom,Black,Spring,2019,Everyday / Streetwear,MALCOLM SHORTS,Everyday / Streetwear
543544005,Unisex,Garment Lower body,Trousers,Trousers,bottom,Grey,Fall,2019,Sportswear / Gym,FEV Frank Cargo,Sportswear / Gym
665290002,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Fall,2019,Everyday / Streetwear,W ED KANTA TRS EQ,Everyday / Streetwear
766402023,Men,Garment Lower body,Trousers,Trousers,bottom,Beige,Summer,2019,Everyday / Streetwear,Laurent slim fit jogger,Everyday / Streetwear
595098001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Office / Formal,Oracle Jumpsuit,Office / Formal
735540001,Women,Garment Lower body,Skirt,Skirt,bottom,Brown,Spring,2019,Everyday / Streetwear,EDC South Skirt,Everyday / Streetwear
598517002,Unisex,Garment Lower body,Shorts,Shorts,bottom,Turquoise,Fall,2019,Sportswear / Gym,SANDY shorts,Sportswear / Gym
558427001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,Dylan PU,Everyday / Streetwear
726373001,Men,Garment Lower body,Trousers,Trousers,bottom,Black,Summer,2019,Everyday / Streetwear,Cox cropped pants,Everyday / Streetwear
624235001,Unisex,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Blue,Fall,2019,Sportswear / Gym,MERI tights,Sportswear / Gym
839899002,Women,Garment Lower body,Skirt,Skirt,bottom,Green,Summer,2019,Office / Formal,Maxime skirt,Office / Formal
878508002,Women,Garment Lower body,Shorts,Shorts,bottom,Beige,Spring,2019,Everyday / Streetwear,ED Kelso shorts,Everyday / Streetwear
572998002,Women,Garment Lower body,Trousers,Trousers,bottom,Grey,Fall,2019,Everyday / Streetwear,Beverly HW Loose Mom Fit Dnm,Everyday / Streetwear
865624001,Women,Garment Lower body,Shorts,Shorts,bottom,Black,Summer,2019,Everyday / Streetwear,Farin HW Woven Shorts,Everyday / Streetwear
533844001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Winter,2019,Everyday / Streetwear,Ambrosia denim,Everyday / Streetwear
914453002,Unisex,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Grey,Summer,2019,Sportswear / Gym,Chia seamless tights,Sportswear / Gym
783346003,Women,Garment Lower body,Trousers,Trousers,bottom,Brown,Summer,2019,Everyday / Streetwear,Primo slacks,Everyday / Streetwear
690518001,Women,Garment Lower body,Skirt,Skirt,bottom,Black,Spring,2019,Everyday / Streetwear,Tropic skirt,Everyday / Streetwear
565292006,Men,Garment Lower body,Shorts,Shorts,bottom,Grey,Summer,2019,Everyday / Streetwear,Jeff o/d pullon,Everyday / Streetwear
631780003,Men,Garment Lower body,Shorts,Shorts,bottom,White,Summer,2019,Office / Formal,Frank shorts,Office / Formal
869207002,Women,Garment Lower body,Shorts,Shorts,bottom,Blue,Spring,2019,Everyday / Streetwear,AK Motoe shorts,Everyday / Streetwear
775715008,Unisex,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Sportswear / Gym,Supreme tights,Sportswear / Gym
822833001,Women,Garment Lower body,Trousers,Trousers,bottom,Grey,Spring,2019,Everyday / Streetwear,LENNY RIB LEGGINGS,Everyday / Streetwear
761042001,Women,Garment Lower body,Trousers,Trousers,bottom,Grey,Spring,2019,Everyday / Streetwear,DIV Maria shorts,Everyday / Streetwear
733471001,Men,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Tommy Joggers,Everyday / Streetwear
549251005,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Everyday / Streetwear,Sanne treggings,Everyday / Streetwear
624967002,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,W Raspberry EQ,Everyday / Streetwear
706016029,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Everyday / Streetwear,Jade HW Skinny Denim TRS,Everyday / Streetwear
491692002,Women,Garment Lower body,Trousers,Trousers,bottom,Orange,Summer,2019,Everyday / Streetwear,Astrid playsuit,Everyday / Streetwear
724172002,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Winter,2019,Everyday / Streetwear,Mini Flare H.W Petite,Everyday / Streetwear
780031002,Women,Garment Lower body,Trousers,Trousers,bottom,Mole,Fall,2019,Everyday / Streetwear,PQ FI LEGGINGS LEATHER,Everyday / Streetwear
501323007,Women,Garment Lower body,Trousers,Trousers,bottom,Grey,Fall,2019,Office / Formal,Thomas paperbag wide,Office / Formal
900227003,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Summer,2019,Everyday / Streetwear,Shaping Skinny HW Petite,Everyday / Streetwear
736624001,Men,Garment Lower body,Shorts,Shorts,bottom,Black,Spring,2019,Everyday / Streetwear,Shorts Straight Mid Thigh,Everyday / Streetwear
554479018,Women,Garment Lower body,Shorts,Shorts,bottom,Grey,Summer,2019,Everyday / Streetwear,Ozzy Denim Shorts,Everyday / Streetwear
683987001,Women,Garment Lower body,Trousers,Trousers,bottom,Red,Winter,2019,Everyday / Streetwear,Clara frill trousers,Everyday / Streetwear
814987002,Women,Garment Lower body,Skirt,Skirt,bottom,Pink,Spring,2019,Everyday / Streetwear,Marta Skirt,Everyday / Streetwear
711043002,Unisex,Garment Lower body,Shorts,Shorts,bottom,Pink,Summer,2019,Sportswear / Gym,Georgia Shorts,Sportswear / Gym
567443001,Men,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Office / Formal,Brago Summer Cropped Trs,Office / Formal
816887001,Women,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Black,Spring,2019,Everyday / Streetwear,Malin Leggings,Everyday / Streetwear
387426012,Unisex,Garment Lower body,Shorts,Shorts,bottom,Unknown,Fall,2019,Sportswear / Gym,Goodman light shorts,Sportswear / Gym
400342003,Men,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,Slim 5pkt Midprice,Everyday / Streetwear
540701003,Women,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Black,Fall,2019,Everyday / Streetwear,Bella Biker Leggings,Everyday / Streetwear
725825001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Palace trs STRAIGHT RW v.6,Everyday / Streetwear
673900012,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Spring,2019,Everyday / Streetwear,Julia Denim Petite Trs 1,Everyday / Streetwear
786791001,Women,Garment Lower body,Skirt,Skirt,bottom,White,Fall,2019,Everyday / Streetwear,Laguna cord skirt,Everyday / Streetwear
720861003,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Winter,2019,Everyday / Streetwear,Vintage Slim Ankle H.W,Everyday / Streetwear
779781005,Women,Garment Lower body,Trousers,Trousers,bottom,Metal,Winter,2019,Office / Formal,Vermont essential slacks,Office / Formal
449897018,Men,Garment Lower body,Trousers,Trousers,bottom,Blue,Winter,2019,Everyday / Streetwear,Slim 5pkt,Everyday / Streetwear
635336002,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Fall,2019,Everyday / Streetwear,Saxophone trousers,Everyday / Streetwear
640021001,Women,Garment Lower body,Trousers,Trousers,bottom,White,Winter,2019,Everyday / Streetwear,Perrie Denim Trash TRS,Everyday / Streetwear
769008004,Men,Garment Lower body,Trousers,Trousers,bottom,Grey,Winter,2019,Everyday / Streetwear,Dean drawstring trouser,Everyday / Streetwear
613133003,Women,Garment Lower body,Trousers,Trousers,bottom,White,Spring,2019,Everyday / Streetwear,Boyfriend L.W,Everyday / Streetwear
865906003,Women,Garment Lower body,Skirt,Skirt,bottom,Beige,Spring,2019,Everyday / Streetwear,Plum midi skirt.,Everyday / Streetwear
727180006,Men,Garment Lower body,Trousers,Trousers,bottom,Grey,Spring,2019,Everyday / Streetwear,Mike Jogger pant,Everyday / Streetwear
607284003,Men,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Everyday / Streetwear,Skinny 5pkt Trash 1,Everyday / Streetwear
379963002,Women,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Black,Fall,2019,Loungewear / Home,Mama plain cotton leggings 2p,Loungewear / Home
703371001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,Guela jaquard,Everyday / Streetwear
825109001,Men,Garment Lower body,Trousers,Trousers,bottom,Blue,Summer,2019,Everyday / Streetwear,New Tapered Premiumprice,Everyday / Streetwear
482263002,Men,Garment Lower body,Shorts,Shorts,bottom,Khaki green,Spring,2019,Everyday / Streetwear,Cobra twill constructed,Everyday / Streetwear
